Property Name,Tax Parcel,Property Type,Address,Gross Area (sq ft),Property Uses,Total Site Energy (kBTU),% Electricity,% Gas,% Steam,% Fuel Oil,% District Hot Water,% District Chilled Water,"% Other (Diesel #2, Kerosene, Propane or Other Fuel)",ENERGY STAR Score,Onsite Renewable (kWh)
SNOWDEN,501412000,K-12 School,150 Newbury St.,36400,K-12 School,1742216,0.449386299,0.550613701,,,,,,68,
Soldiers Field Park Complex (Roll-Up),2200480000,Multifamily Housing,111 Western Avenue,453389,Multifamily Housing,Not Available,,,,,,,,,
Soldiers Field Park Garage,2200480000,Parking,111 Western Avenue,270637,Parking,1767428.7,1,,,,,,,,
SOMA Campus,1801935000,Multifamily Housing,15 Bismark Street,318600,Multifamily Housing,24488389.1,0.18819329,,,0.81180671,,,,61,
Somerset Condominium,503809000,Multifamily Housing,"400, 416, 418 Commonwealth Ave, 429 Newbury Street",155880,"Multifamily Housing, Office",9961341.4,0.708392667,0.291607333,,,,,,86,
Sophia Snow House: Centre Street,2003597001,Multifamily Housing,Centre Street,105970,Multifamily Housing,6042427.1,0.183559534,0.816440483,,,,,,77,
South Bay Center: South Bay Center,703501055,Strip Mall,8 Allstate Road,296646,"Parking, Strip Mall",26046826.6,0.676121774,0.323878222,,,,,,,
South Bay Expansion: South Bay Expansion,703498010,Strip Mall,25 District Avenue,149416,Strip Mall,18189273.5,0.774559429,0.225440571,,,,,,,
South Boston Branch,603247000,Library,646 East Broadway,10800,Library,765445.6,0.335084035,0.664915965,,,,,,,
South Boston Elderly,602147000,Multifamily Housing,120 H Street,51000,Multifamily Housing,2747715.1,0.378113182,0.621886818,,,,,,15,
south boston health center,601141000,Medical Office,409 west broadway,40000,Medical Office,5499814.7,0.521415822,0.478584178,,,,,,14,
SOUTH BOSTON HS,701079000,K-12 School,95 G St.,160270,K-12 School,6567428.1,0.246969449,0.753030551,,,,,,91,
South Cove Plaza East - 285 TREMONT: 26145951005,500066000,Multifamily Housing, 285 TREMONT,85986,Multifamily Housing,2126402.4,1,,,,,,,96,
South Cove Plaza West - 230 STUART ST: 26090791000,500800000,Multifamily Housing,230 Stuart Street,135160,Multifamily Housing,3439163.5,1,,,,,,,95,
South End Branch,402730000,Library,685 Tremont St,11342,Library,815811.4,0.567522592,0.432477408,,,,,,,
South Hall,402012000,College/University,321 Brookline Avenue,26100,College/University,536626.2,1,,,,,,,,
South St Apartments,1103286000,Multifamily Housing,218-230 South St ,83475,Multifamily Housing,Not Available,,,,,,,,,
Spangler Center,2200490000,Other - Entertainment/Public Assembly,117 Western Ave,139437,Other - Entertainment/Public Assembly,15800859.9,0.270952203,0.162359442,0.566688348,,,,,,
Sparrow Enterprises Ltd,103704100,Manufacturing/Industrial Plant,98r Condor Street,46000,Manufacturing/Industrial Plant,1732575.5,0.162403081,0.837596976,,,,,,,
Special Operations Fire,2200965000,Fire Station,108 Holton Street,11500,Fire Station,3900625.8,0.286121806,0.713878219,,,,,,,
Special Operations Police,1200907000,Police Station,3 Edgewood St,20000,Police Station,3009335.1,0.317445638,0.682554395,,,,,,,
Spencer House: 2053R Columbus Ave,1101588600,Multifamily Housing,2053 Columbus Ave,51897,Multifamily Housing,3223165.2,0.31359401,0.686406021,,,,,,37,
Spring House: 44 Allandale Street,2003594000,Multifamily Housing,44 Allandale Street,172770,Multifamily Housing,11711470.3,0.289087016,0.710912984,,,,,,18,
Squashbusters @ Northeastern University,901340000,Other - Education,795A Columbus Avenue,38498,Other - Education,4569763.5,0.900484434,0.099515566,,,,,,,
SRT Realty LLC,1102534000,Office,510 Amory Street,57743,Office,Not Available,,,,,,,,,
SS Brighton MA LLC,2201904000,Self-Storage Facility,145 N. Beacon St.,128855,Self-Storage Facility,1744344,0.62812146,0.371878597,,,,,,,
St Germain,401229000,Multifamily Housing,8-67 St Germain Street,159042,Multifamily Housing,3620477,0.813229058,0.186770942,,,,,,100,
St Joseph's Community Inc,903820000,Multifamily Housing,86 Crispus Attucks Pl,140932,Multifamily Housing,11437261.1,0.190544675,0.809455316,,,,,,75,
St. Ann Hall,401847000,Residence Hall/Dormitory,410 The Fenway,49803,Residence Hall/Dormitory,3644970.1,0.263094092,0.736905935,,,,,,73,
St. Anthony Shrine,304608000,Worship Facility,100 Arch Street,126573,Worship Facility,8358306.7,0.245554569,0.024430786,0.730014645,,,,,,
St. Botolph,402270000,Multifamily Housing,351-367 Massachusetts Ave,46200,Multifamily Housing,4888319.7,0.212874498,0.787125502,,,,,,19,
St. Cloud,400218000,Multifamily Housing,557-569 Tremont St.,40000,Multifamily Housing,233257.5,1,,,,,,,100,
St. Elizabeth Medical Center,"2101835100, 2101836000, 2101835200, 2101836010",Hospital (General Medical & Surgical),736 Cambridge Street,651000,Hospital (General Medical & Surgical),163386463.4,0.200557344,0.799442656,,,,,,88,
St. Francis House Inc.: 37 Boylston Street,304878000,Other - Public Services,37 Boylston Street,100000,"Multifamily Housing, Other - Public Services",6880688.3,0.405227614,0.594772386,,,,,,,
St. Helena's House: 89 Union Park Street,801080000,Multifamily Housing,89 Union Park St,85828,Multifamily Housing,5271423.1,0.276316807,0.723683193,,,,,,77,
St. Joseph Hall,401847000,Residence Hall/Dormitory,430 The Fenway,94450,Residence Hall/Dormitory,5792168,0.275391978,0.724608005,,,,,,82,
St. Kevin's (Whole Building Tracking): 35 Bird Street (Whole Building Tracking),1301320010,Multifamily Housing,35 Bird Street,13510,Multifamily Housing,254231.5,1,,,,,,,,
St. Kevin's (Whole Building Tracking): 516 Columbia Road (Whole Building Trac...,1301320010,Multifamily Housing,516 Columbia Road,25701,Multifamily Housing,1391429,0.443656198,0.556343802,,,,,,80,
Stables,1902622000,Police Station,165 Allandale St,10000,Police Station,82365.1,1,,,,,,,,
"Stadium Auto Body, INc",2200558001,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",EVERETT ST,61015,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",5711330,0.192744947,0.807255053,,,,,,,
Stanwood Limited Partnership,2100896000,Other,149-175 Harvard Ave ,54302,Other,4966683.5,0.02439926,0.975600761,,,,,,,
State House LLC,303899000,Office,1 State Street,64428,Office,384562.2,1,,,,,,,,
Station 514,304520000,Energy/Power Station,67 Kingston St. (Chauncy St.),80250,Energy/Power Station,Not Available,,,,,,,,,
Stony Brook Commons,1806016400,Multifamily Housing,390 Blue Ledge Drive,459000,Multifamily Housing,43429266.3,0.204456049,0.795543953,,,,,,43,
Stop & Shop #75,1001850010,Supermarket/Grocery Store,301 Centre St.,46707,Supermarket/Grocery Store,8802893.1,0.596448002,0.403551998,,,,,,86,
STP LLC,304785000,Retail Store,477 481 Washington Street,57306,"Office, Retail Store",Not Available,,,,,,,,,
STP LLC,304785000,Office,477 481 Washington Street,57306,"Office, Retail Store",Not Available,,,,,,,,,
Strand Theatre,1301742000,Other,543 Columbia Rd,34876,Other,5672736,0.226722396,0.773277604,,,,,,,
Streetlighting Yard PWD,1405200000,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",430 Canterbury St,9150,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",289063,1,,,,,,,,
Stress Unit,1800113100,Police Station,249 River St,3115,Police Station,235338,0.144914973,0.855085027,,,,,,,
Suffolk Downs,102524000,Other - Entertainment/Public Assembly,525 McClellan Highway,467685,"Other - Entertainment/Public Assembly, Parking",22554596.1,0.351407774,0.648592226,,,,,,,
SUMNER,1903097000,K-12 School,15 Basile St.,49105,K-12 School,2511355.7,0.220064764,0.779935236,,,,,,81,
Sumner Hill House Condos: Sumner Hill House Condos,1901237000,Multifamily Housing,76 Elm Street,95501,Multifamily Housing,4155908.6,0.311888789,0.688111235,,,,,,95,
Symphony Court Condo,401461010,Multifamily Housing,41 Westland Ave,101128,Multifamily Housing,5088237,0.777626199,0.222373801,,,,,,22,
Symphony East: 334 Massachusetts Ave,402295000,Multifamily Housing,334 Massachusetts Ave,154105,Multifamily Housing,11527418.7,0.336542968,0.663457041,,,,,,55,
Symphony West: 333 Massachusetts Ave,402277000,Multifamily Housing,333 Massachusetts Ave,174779,Multifamily Housing,12284290.7,0.3802182,0.6197818,,,,,,59,
TAFT,2101240000,K-12 School,20 Warren St.,113199,K-12 School,6649126.4,0.168539434,0.831460551,,,,,,77,
Tai Tung Village,305021000,Multifamily Housing,230 Harrison Avenue,249026,"Multifamily Housing, Parking",25190984.9,0.12379021,0.87620979,,,,,,57,
Talbot Bernard Homes,1402922010,Multifamily Housing,112 Bernard St,45883,"Multifamily Housing, Parking",3109610.1,0.281071026,0.718928974,,,,,,76,
Tara 1660,2202752000,Strip Mall,1660 Soldiers Field Road,52701,"Parking, Strip Mall",1286347.9,1,,,,,,,,
Tata Hall,2200530000,Residence Hall/Dormitory,53 Harvard Way,157587,Residence Hall/Dormitory,6773991.2,0.50771151,0.452113076,,,,,,89,79762
Taurus Apartments: Taurus Apartments,1201992000,Multifamily Housing,120 Humboldt Avenue,42336,Multifamily Housing,3496146.3,0.188323326,0.811676645,,,,,,35,
TAYLOR,1703440000,K-12 School,1060 Morton St.,51389,K-12 School,2575174.1,0.220975933,0.779024067,,,,,,83,
TD Garden,"301925100, 301925000",Indoor Arena,100 Legends Way,755000,"Indoor Arena, Parking",101306305.2,0.570706941,0.429293059,,,,,,,
Teele Hall,2201058010,Office,230 Western Ave,52688,Office,3181553.3,0.810910036,0.158271496,,,,,,71,28737
Tenean Properties,1602580000,Office,60 Tenean Street,48399,Office,Not Available,,,,,,,,,
Tent City,400600040,Multifamily Housing,100 -128 Dartmouth Street (130),327174,"Multifamily Housing, Retail Store",22461266.2,0.429672678,0.570327322,,,,,,58,
TFC 30 Winter LLC,304770000,Office,30 Winter Street,87228,"Data Center, Office, Retail Store",5121923.6,1,,,,,,,100,
The 1850 Condominium,801106020,Other - Lodging/Residential,90 Wareham Street ,52448,Other - Lodging/Residential,2485113.8,0.684400771,0.315599229,,,,,,,
The 51 Park drive,504250000,Multifamily Housing,51 park drive,18322,Multifamily Housing,1729048.7,0.248893337,0.751106663,,,,,,64,
The Atlantic Building,302960000,Office,400 Atlantic Avenue,104690,Office,6589118.3,0.67103711,0.32896289,,,,,,82,
The Barclay,501221000,Multifamily Housing,12 Commonwealth Avenue,42860,Multifamily Housing,3434902.5,0.093567954,0.005356775,,0.901075271,,,,84,
The Benjamin - Whole Building,602641150,Multifamily Housing,25 Northern Ave,298470,"Heated Swimming Pool, Multifamily Housing, Parking",14163771.4,1,,,,,,,53,
The Beverly,301523035,Multifamily Housing,101 Beverly St ,385841,"Multifamily Housing, Other, Parking, Restaurant",22369734.7,0.710196675,0.289803325,,,,,,26,
The Blackstone Apartments,300670000,Multifamily Housing,33 Blossom Street,129648,Multifamily Housing,7101142.7,0.301980792,0.698019208,,,,,,91,
"The Bostonian Boston, a Millennium Hotel",303365000,Hotel,26 North Street,204900,Hotel,17030730.4,0.507792478,0.492207522,,,,,,71,
THE BOULEVARD / 102-112 BROAD ST,303975000,Multifamily Housing,110 Broad Street,69829,Multifamily Housing,1252524.2,0.513223058,0.486777022,,,,,,100,
The Bradley Condominium,503834010,Multifamily Housing,409 Commonwealth Avenue,36187,Multifamily Housing,1563101.5,0.392489867,0.607510133,,,,,,,
The Carruth - Commercial,1604854012,Multifamily Housing,1906 -1918 DORCHESTER Ave,186139,Multifamily Housing,13437408.7,0.307247386,0.692752621,,,,,,17,
The Charlesview Condominium,503703000,Other - Lodging/Residential,534 Beacon Street ,518155,Other - Lodging/Residential,3121905.7,0.299242094,0.700757906,,,,,,,
The Church of Scientology,2201328000,Office,214 Lincoln Street,68000,Office,1971212.8,0.414870683,0.585129317,,,,,,93,
The Colonnade Hotel,400905000,Hotel,120 Huntington Avenue,276439,Hotel,23499634.4,0.403457928,0.596542072,,,,,,87,
The Colonnade Residences,400905010,Multifamily Housing,118 Huntington Avenue,172000,"Multifamily Housing, Parking",22559091.5,0.387070898,0.612929098,,,,,,,
The Corner Mall,304738000,Office,413 Washington Street,212515,"Office, Performing Arts, Retail Store",22934016.6,0.52667463,0.272102506,0.201222868,,,,,39,
The Courtyard,2202114000,Multifamily Housing,140-154 North Beacon Street,70074,Multifamily Housing,2774614.2,0.914369789,0.085630211,,,,,,68,
The Distillery,603068000,Other,516 East Second Street #43,175000,Other,4291123.1,0.473532978,0.082998971,,0.42204408,,,,,26944
The Dorchester: Dorchester- Deering Rd.,1404715000,Multifamily Housing,51 Deering Road,33324,Multifamily Housing,3195498.7,0.134552769,0.865447231,,,,,,30,
The Eddy,105410000,Multifamily Housing,10 New Street,246242,"Multifamily Housing, Parking",17839463.4,0.389634192,0.610365808,,,,,,48,
The Eliot Hotel,503800000,Hotel,370 Commonwealth Avenue,72950,"Hotel, Restaurant",8885147.4,0.443453228,0.556546783,,,,,,37,
The Gillette Company LLC,"601169000, 601169004, 601170000, 602731000, 602739000, 602742000, 602743000",Manufacturing/Industrial Plant,One Gillette Park,1526083,Manufacturing/Industrial Plant,929330981.7,0.004702819,0.994534962,,0.000762219,,,,,
The Godfrey Hotel,304810010,Hotel,505 Washington Street,131232,"Fitness Center/Health Club/Gym, Food Service, Hotel, Restaurant",14514233.8,0.502657412,0.497342588,,,,,,49,
The Greenhouse Apartments,400864000,Multifamily Housing,150 Huntington Avenue,786432,"Multifamily Housing, Parking",28047398,0.435903837,0.564096163,,,,,,93,
The Harlo,504313000,Multifamily Housing,1350 Boylston Street,189800,"Multifamily Housing, Other, Parking",12446258.6,0.448536551,0.551463441,,,,,,67,
The Heritage on the Garden,"501170000, 501170002",Mixed Use Property,300 Boylston Street,357614,"Multifamily Housing, Office, Other, Other - Services, Parking, Restaurant",30390470.6,0.880342169,0.119657834,,,,,,21,
The Jefferson Schoolhouse Condominium,1001671000,Other - Lodging/Residential,240 Heath Street,12600,Other - Lodging/Residential,Not Available,,,,,,,,,
The Kensington,304896020,Multifamily Housing,665 Washington Street,315480,"Multifamily Housing, Other, Parking",19195551.6,0.613039461,0.386960539,,,,,,58,
The Landmark,304406000,Office,160 Federal Street,366650,"Office, Parking",17461977.8,0.965294882,0.034705118,,,,,,81,
The Lenox Hotel,401038000,Hotel,710 Boylston Street,130410,Hotel,17153011.9,0.39951291,0.60048709,,,,,,64,
The Longwood: The Longwood,1000017000,Multifamily Housing,1575 Tremont Street,167113,Multifamily Housing,11388607.3,0.274292731,0.72570726,,,,,,68,
The MASCO Building,401996000,Office,375 Longwood Avenue,83307,"Office, Pre-school/Daycare, Restaurant",8856919.3,0.664531007,0.335468993,,,,,,69,
The Mecca at Grove Hall,1400641010,Other - Mall,456 - 474 Blue Hill Avenue,77161,Other - Mall,12882796.1,0.625499832,0.374500168,,,,,,,
The Metropolitan: 1 Nassau Street,"305424024, 305424030",Multifamily Housing,1 Nassau St,350000,Multifamily Housing,21036134.9,0.542243067,0.457756938,,,,,,32,
The Modern,900956000,Multifamily Housing,255-265 Northhampton St,90000,Multifamily Housing,1546446.1,0.473731998,0.526268067,,,,,,100,
The Monarch Condominium,2101707100,Other - Lodging/Residential,300 Allston Street,71284,Other - Lodging/Residential,Not Available,,,,,,,,,
The Nautica Condominium Leasehold Trust,203520010,Multifamily Housing,1 Warren St,150977,"Multifamily Housing, Parking",11438646.5,0.460941467,0.539058533,,,,,,62,
The Paulist Center,304681000,Worship Facility,5 Park Street,36360,"Residence Hall/Dormitory, Worship Facility",2483392.1,0.340296524,0.043451213,0.616252262,,,,,59,
The Pierce,2100054000,Multifamily Housing,200 Brookline Avenue,408354,"Multifamily Housing, Other, Restaurant, Swimming Pool",27096280.7,0.662651299,0.337348701,,,,,,21,
The Porter Condominium Trust,104164010,Multifamily Housing,156 Porter Street,165000,Multifamily Housing,4627039.1,0.952102199,0.047897801,,,,,,92,
The Portland Group Boston,800958000,Distribution Center,82 Gerard Street,42030,Distribution Center,2986397.5,0.13591985,0.86408015,,,,,,36,
The Residences at 210 South: 210 South Street,305358202,Multifamily Housing,210 South Street,92720,Multifamily Housing,4246578.4,0.527619719,0.472380281,,,,,,66,
The Revolution Hotel,500865000,Hotel,40 Berkeley,67624,Hotel,5474091.4,0.459573419,0.540426581,,,,,,75,
The Roxbury Latin School,2003263000,K-12 School,101 St. Theresa Avenue,220700,K-12 School,16195896.8,0.428787414,0.57121258,,,,,,43,
The Schoolhouse on Monument Square Condominium,203150000,Multifamily Housing,30 Monument Square,66863,"Multifamily Housing, Parking",3149018.3,0.57597563,,,0.42402437,,,,57,
The Seville Condominium Trust,105937000,Multifamily Housing,264 Meridian Street,71263,"Multifamily Housing, Other, Parking, Retail Store",4006011.6,0.478134287,0.521865713,,,,,,77,
The Starboard Condominiums,203511400,Multifamily Housing,45 First Avenue,47454,Multifamily Housing,1920956.1,0.394364088,0.605635912,,,,,,95,
The Stearns: 10 Temple Place,304794000,Multifamily Housing,10 Temple Pl,135344,Multifamily Housing,5942511.2,0.496043861,0.503956139,,,,,,89,
The Tudor Condominium Trust,501604000,Multifamily Housing,34 1/2 Beacon Street,45000,Multifamily Housing,2463682.7,0.578720101,0.421279899,,,,,,,
The Vendome,501383000,Multifamily Housing,160 Commonwealth Ave.,98982,Multifamily Housing,6830144.7,0.827905022,0.172094978,,,,,,4,
The Victor by Windsor,301536000,Multifamily Housing,110 Beverly St.,379172,Multifamily Housing,13921547.5,0.624529773,0.375470227,,,,,,89,
The Viridian,504225000,Multifamily Housing,1282 Boylston Street,272845,"Multifamily Housing, Parking, Retail Store",15477909.7,0.634798625,0.365201368,,,,,,76,
Theroch,"1400064000, 1202398000, 1202402000, 1202420000, 1202313000, 1400084000, 1400087000, 1401065000, 1402457000, 1402458000, 1402511000",Multifamily Housing,223 Columbia Road,79102,Multifamily Housing,5188222.5,0.17705667,0.822943349,,,,,,69,
Thomas Johnson Community Center,402043000,Other - Recreation,68 Annunciation Rd,39600,Other - Recreation,1587128.3,0.186457075,0.813542925,,,,,,,
Thomas More Apartments,2102443000,Multifamily Housing,2150 Commonwealth Ave,239667,"Medical Office, Multifamily Housing",15669580.3,0.328609446,0.671390554,,,,,,79,
THOMPSON,1702514000,K-12 School,100 Maxwell St.,75508,K-12 School,4272327.8,0.20687076,0.79312924,,,,,,76,
Thomson Portfolio - 11 Farnsworth St - Parcel 06-02658-001,602658001,Financial Office,11 Farnsworth Street,45280,Financial Office,3031985.8,0.646063844,,,0.353936156,,,,91,
Thomson Portfolio - 12-22 Thomson Place - Parcel 0602654010,602654010,Office,12-44 Thomson Place,184479,"Financial Office, Office",4387222.1,0.397477506,0.602522494,,,,,,,
Thomson Portfolio - 25 Thomson Place - Parcel 0602652010,602652010,Office,25-35 Thomson Place,117469,Office,9677731.8,0.646105051,0.353894949,,,,,,,
Thomson Portfolio - 26 Thomson Place,602654010,Office,26 Thomson Place,33942,Office,2562988.6,0.487173997,,,0.512826003,,,,75,
Thomson Portfolio - 35 Thomson Place,602652010,Office,35-37 Thomson Place,53100,Office,5072371.7,0.438270622,0.561729378,,,,,,49,
Thomson Portfolio - 44 Thomson Place,602654010,Office,42-56 Thomson Place,32384,Office,2272701,0.233643185,0.766356815,,,,,,,
Thomson Portfolio 30-36 Thomson Place,602654010,Office,30/36 Thomson Place,73363,Office,6365336.8,0.571255978,0.428744038,,,,,,67,
TIMILITY,903337000,K-12 School,205 Roxbury St.,83120,K-12 School,3198578.9,0.260827301,0.739172699,,,,,,92,
TOBIN,1000014000,K-12 School,40 Smith St.,64091,K-12 School,4656781.3,0.132258756,0.867741223,,,,,,63,
Tobin Community Center,1000010000,Other - Recreation,1481 Tremont St,50000,Other - Recreation,4392303.2,0.32245217,0.677547807,,,,,,,
Tosteson Medical Education Center (TMEC),401882000,College/University,260 Longwood Ave,180027,College/University,43110865.2,0.18757296,1.86E-05,0.428141718,,,0.384266763,,,
Tow Lot,801024035,Other - Public Services,200 Frontage Rd,46154,Other - Public Services,1142474.1,1,0,,,,,,,
Tower Point,602754010,Office,27-43 Wormwood Street,156510,"Data Center, Office, Parking",10306102.9,1,,,,,,,55,
Towers at Longfellow - 19137,300470000,Multifamily Housing,5 Longfellow Place,994177,"Multifamily Housing, Parking, Swimming Pool",40170424,0.689073459,0.310926541,,,,,,86,
Training Academy / Fire Academy,107066000,Fire Station,200 Moon Island,7007,Fire Station,1266403.4,0.281419017,,,0.718580983,,,,,
Tremont on the Common Condominium,304850000,Multifamily Housing,151 Tremont Street,517000,"Multifamily Housing, Parking, Swimming Pool",22521662.3,0.38332639,0.039412974,0.577260636,,,,,91,
Tremont Residential (Grandview Condo),304847010,Multifamily Housing,165 Tremont St,156534,Multifamily Housing,9378653.5,0.464883365,0.535116635,,,,,,47,
Trilogy,2100051018,Multifamily Housing,170 Brookline Avenue,142773,Multifamily Housing,8662181.5,0.531090453,0.468909547,,,,,,36,
Trinity Border Street LLC (Boston East),105413010,Multifamily Housing,126 Border Street,203508,Multifamily Housing,8723864.4,0.397629346,0.602370654,,,,,,93,
Trinity Foley,1800113100,Multifamily Housing,249 River Street,125000,Multifamily Housing,6977995.7,0.369728746,0.630271254,,,,,,36,
Trinity Franklin Hill Phase One LP,1404238010,Multifamily Housing,99-113 Shandon Road,75462,Multifamily Housing,6401552.8,0.330164706,0.669835294,,,,,,45,
Trinity Mattapan Heights 5,1800113800,Multifamily Housing,229A River St,74698,Multifamily Housing,4212509,0.374684185,0.625315815,,,,,,69,
Trinity Place Condominium,401053010,Multifamily Housing,1 Huntington Ave.,177636,"Multifamily Housing, Other - Restaurant/Bar, Other - Services, Parking",21543045.6,0.411622268,0.110044682,0.478301016,3.20E-05,,,,1,
TROTTER,1203275000,K-12 School,135 Humboldt Ave.,79600,K-12 School,6239233.4,0.270232974,0.729767042,,,,,,39,
Troy Boston - 24030,306577000,Multifamily Housing,55 Traveler Street,361800,"Food Service, Multifamily Housing, Parking, Restaurant, Swimming Pool",18821668.8,0.415806323,0.584193677,,,,,,87,
Tufts Medical Center,"305367000, 305379030, 305379035, 305381003, 305382000, 305382001, 305400100, 305630000, 305630001, 305635000, 305640000, 305655000, 305656000",Hospital (General Medical & Surgical),800 Washington St,1829394,"Data Center, Hospital (General Medical & Surgical), Parking",311846202.2,0.384069581,0.005149654,0.609672991,0.001107775,,,,86,
Twenty Two Liberty,602670010,Multifamily Housing,22 Liberty Drive,222191,Multifamily Housing,14798330.7,0.240490612,0.759509388,,,,,,55,
Twenty-One Beacon Condominium,302807000,Multifamily Housing,21 Beacon Street,94785,"Convenience Store without Gas Station, Multifamily Housing, Office, Other - Restaurant/Bar",15397502.5,0.215028541,0.784971459,,,,,,7,
Two Financial Center,304300010,Office,60 South Street,234475,"Office, Parking",18601719.5,1,,,,,,,56,
"Two Hundred Mortgage Associates, L.P.","304044000, 304043010, 304042000",Office,200 High Street,96393,Office,9572741.1,0.897814002,0.102185998,,,,,,,
Two International Place,"304071010, 304060010, 304071000",Office,Two International Place,851195,"Bank Branch, Data Center, Fitness Center/Health Club/Gym, Office, Other - Mall, Parking, Repair Services (Vehicle, Shoe, Locksmith, etc.), Restaurant",65503614.1,1,,,,,,,75,
Two Twenty Two Berkeley,401096000,Office,222 Berkeley Street,551775,"Bank Branch, Fast Food Restaurant, Office, Parking, Restaurant, Retail Store",29656293.3,1,,,,,,,76,
TYNAN,602270000,K-12 School,650 E. Fourth St.,120000,K-12 School,9496736.8,0.193613095,0.806386905,,,,,,47,
UE Apartments,"1101626000, 1002020000, 1101077000, 1101078000, 1101557000, 1001883000, 1102150020, 1102151000, 1203077000",Multifamily Housing,2014-2030 Columbus Ave,38720,"Multifamily Housing, Parking",2304582.1,0.303616478,0.696383522,,,,,,79,
U-Haul Storage at Rusfield St (837054/837065),800969000,Self-Storage Facility,15 Rusfield,127500,Self-Storage Facility,1892158.8,0.576390998,0.423609002,,,,,,,
Ulin House: 30 Wallingford Rd.,2102565015,Multifamily Housing,30 Wallingford Rd,140889,Multifamily Housing,11946971.1,0.176559547,0.823440453,,,,,,83,
UMANA,103668000,K-12 School,312 Border St.,169000,"K-12 School, Swimming Pool",25538561.9,0.063315296,0.936684704,,,,,,13,
UniFirst Corporation,703638000,Manufacturing/Industrial Plant,78 - 80 East Cottage Street,45000,Manufacturing/Industrial Plant,2402118.1,1,,,,,,,,
"Union Club of Boston, Inc.",304684000,Mixed Use Property,Eight Park Street,36666,"Hotel, Office, Restaurant",2664138.1,0.005536124,0.247891091,0.746572785,,,,,,
Union Square Condo Trust,2201749000,Multifamily Housing,15 N-Beacon St,228988,Multifamily Housing,18184755.6,0.258930106,0.741069899,,,,,,36,
Union Wharf Condominiums,303038200,Multifamily Housing,343 Commercial Street,223324,"Multifamily Housing, Office, Parking, Swimming Pool",7336527.8,0.743070394,0.256929593,,,,,,83,
Unitarian Universalist Association,602664000,Office,24 Farnsworth Street,74835,"Office, Parking",6116644.7,0.446128283,0.553871717,,,,,,61,
University Club of Boston,401084050,Other - Recreation,426 Stuart Street,45000,Other - Recreation,8408506.2,0.376960286,0.623039714,,,,,,,
Uphams Corner (Whole Building Tracking): 530 Columbia Road (Whole Building Tr...,1301316010,Multifamily Housing,530 Columbia Road,60843,Multifamily Housing,2597324.4,0.427181064,0.572818936,,,,,,96,
Uphams Corner Health Center,1301321000,Urgent Care/Clinic/Other Outpatient,500 Columbia Rd,13600,Urgent Care/Clinic/Other Outpatient,1440524.5,0.10274348,0.89725652,,,,,,,
Uphams Corner: 614 Columbia Rd,703892012,Multifamily Housing,614 Columbia Rd,60348,Multifamily Housing,3027294.3,0.467827988,0.532172012,,,,,,52,
Upper School - Catholic Memorial,2008916000,K-12 School,235 Baker Street,91425,K-12 School,5769083.1,0.214277482,0.785722518,,,,,,72,
Van Ness Terrace,1200280000,Multifamily Housing,238 Warren Street,66383,Multifamily Housing,3147076.9,0.209031117,0.790968883,,,,,,92,
Vanderbilt Hall,401850000,College/University,107 Avenue Louis Pasteur,165820,College/University,15556404.8,0.293365804,,0.572894574,,,0.133739622,,,
VBC Apartments,1202455010,Multifamily Housing,495 Blue Hill Ave.,26829,Multifamily Housing,2218304,0.20648536,0.79351464,,,,,,46,
Veronica Smith Senior Center,2205513000,Other,20 Chestnut Hill Ave,13100,Other,893697.7,0.238195421,0.761804579,,,,,,,
VIA Seaport Residences - Whole Building Meters,602671035,Multifamily Housing,5 Fan Pier Blvd,330550,Multifamily Housing,44631555.4,0.258139263,0.741860735,,,,,,7,
Victory Gardens Apartments: 54 Orleans Street,105343100,Multifamily Housing,54 Orleans St,78545,Multifamily Housing,3808512.6,0.358474277,0.641525723,,,,,,81,
Village at Chestnut Hill,2007833020,Strip Mall,631 VFW Parkway,70042,"Medical Office, Parking, Strip Mall",6402139.7,0.899382311,0.100617689,,,,,,,
Vine Street Community Center,802700000,Other - Recreation,339 Dudley St,25000,Other - Recreation,2000212,0.673525606,0.326474394,,,,,,,
Viviendas: 100 West Dedham,900080000,Multifamily Housing,100 West Dedham,63968,Multifamily Housing,5708083.7,0.246244409,0.753755591,,,,,,46,
Walbridge Brainerd,2101463000,Multifamily Housing,25 Walbridge St,24700,Multifamily Housing,4447844.7,0.092845238,0.907154762,,,,,,1,
Walbridge/Commonwealth Assoc LLC: 1350 Commonwealth Avenue,2101454000,Multifamily Housing,1350 Commonwealth Avenue,29096,Multifamily Housing,1502361.7,0.104297587,0.895702413,,,,,,87,
Walker Building,500043011,College/University,120 Boylston St,176296,College/University,20150357.4,0.562984436,,0.437015564,,,,,,
Walnut Washington,"1101620000, 1101647000, 1101648000, 1101652000, 1102293000",Multifamily Housing,361-363 Walnut Ave,27261,Multifamily Housing,3366511.8,0.115065036,0.884934964,,,,,,13,
Wang Theatre,305651000,Performing Arts,270 Tremont Street,88434,Performing Arts,8021072,0.624387264,0.031173028,0.344439721,,,,,,
